time,cog_index,correct_in_db,total_in_db,correct_in_GA,total_in_GA,precision
0,-1,0,0,0,0,0.0000
858,-1,0,0,0,6,0.0000
1698,-1,0,0,0,7,0.0000
2534,-1,0,0,0,7,0.0000
3365,-1,0,0,0,7,0.0000
4204,-1,0,0,0,7,0.0000
5038,-1,0,0,0,7,0.0000
5873,-1,0,0,0,7,0.0000
6710,-1,0,0,0,2,0.0000
7547,-1,0,0,0,0,0.0000
8382,-1,0,0,0,0,0.0000
9218,-1,0,0,0,0,0.0000
10051,-1,0,0,0,0,0.0000
10897,-1,0,0,0,0,0.0000
11736,-1,0,0,0,0,0.0000
12578,-1,0,0,0,0,0.0000
13414,-1,0,0,0,0,0.0000
14255,-1,0,0,0,0,0.0000
15092,-1,0,0,0,0,0.0000
15928,-1,0,0,0,0,0.0000
16764,-1,0,0,0,0,0.0000
17603,-1,0,0,0,0,0.0000
18440,-1,0,0,0,0,0.0000
19279,-1,0,0,0,0,0.0000
20114,-1,0,0,0,0,0.0000
20966,0,1,1,0,0,0.0000
21802,0,1,1,0,0,0.0000
22644,0,1,1,0,0,0.0000
23489,1,2,2,0,0,0.0000
24333,1,2,2,0,0,0.0000
25168,2,4,4,0,0,0.0000
26009,2,4,4,0,0,0.0000
26856,2,4,4,0,0,0.0000
27706,2,4,4,0,0,0.0000
28552,3,5,5,0,0,0.0000
29400,4,6,6,5,5,1.0000
30249,4,6,6,5,5,1.0000
31100,4,6,6,6,6,1.0000
31970,4,6,6,6,6,1.0000
32816,5,6,7,6,6,1.0000
33668,5,6,7,6,6,1.0000
34520,6,7,8,6,6,1.0000
35374,6,7,8,6,6,1.0000
36234,6,7,8,6,6,1.0000
37087,6,7,8,6,6,1.0000
37942,6,7,8,6,6,1.0000
38789,6,7,8,7,7,1.0000
39641,6,7,8,7,7,1.0000
40495,7,8,9,7,7,1.0000
41355,9,10,11,7,7,1.0000
42244,9,10,11,8,8,1.0000
43104,11,11,13,9,9,1.0000
43981,11,11,13,9,9,1.0000
44846,12,13,15,9,9,1.0000
45722,12,13,15,9,9,1.0000
46590,12,13,15,9,9,1.0000
47467,12,13,15,8,8,1.0000
48332,12,13,15,8,8,1.0000
49201,12,13,15,7,7,1.0000
50071,12,13,15,7,7,1.0000
50940,12,13,15,7,7,1.0000
51814,12,13,15,7,7,1.0000
52683,13,13,16,7,7,1.0000
53594,13,13,16,7,7,1.0000
54463,14,13,17,7,7,1.0000
55344,15,13,18,7,7,1.0000
56354,16,13,19,7,7,1.0000
57256,16,13,19,7,7,1.0000
58133,16,13,19,7,7,1.0000
59150,16,13,19,12,12,1.0000
60036,16,13,19,12,12,1.0000
60914,17,13,20,12,12,1.0000
61913,17,13,20,12,12,1.0000
62818,17,13,20,12,12,1.0000
63698,17,13,20,12,12,1.0000
64750,17,13,20,12,12,1.0000
65633,17,13,20,12,12,1.0000
66524,17,13,20,12,12,1.0000
67551,18,14,21,13,13,1.0000
68451,18,14,21,13,13,1.0000
69332,18,14,21,13,13,1.0000
70322,18,14,21,13,13,1.0000
71226,18,14,21,13,13,1.0000
72113,18,14,21,13,13,1.0000
73117,18,14,21,13,13,1.0000
74010,18,14,21,13,13,1.0000
74902,18,14,21,13,13,1.0000
75885,18,14,21,13,13,1.0000
76831,18,14,21,13,13,1.0000
77712,18,14,21,13,13,1.0000
78727,18,14,21,13,13,1.0000
79628,18,14,21,13,13,1.0000
80519,19,15,22,13,13,1.0000
81523,19,15,22,13,13,1.0000
82434,21,17,24,13,13,1.0000
83330,22,17,25,13,13,1.0000
84365,23,18,26,13,13,1.0000
85272,23,18,26,13,13,1.0000
86169,23,18,26,10,10,1.0000
87202,24,19,27,10,10,1.0000
88166,24,19,27,10,10,1.0000
89070,25,20,28,10,10,1.0000
90089,26,20,30,10,10,1.0000
91014,26,20,30,10,10,1.0000
92025,26,20,30,10,10,1.0000
92961,28,20,32,10,10,1.0000
93879,29,22,34,11,11,1.0000
94943,29,22,34,11,11,1.0000
95859,31,24,37,11,11,1.0000
96915,32,25,38,13,13,1.0000
97851,32,25,38,13,13,1.0000
98785,32,25,38,13,13,1.0000
99856,33,25,39,13,13,1.0000
100838,33,25,39,13,13,1.0000
101889,33,25,39,13,13,1.0000
102818,34,26,40,12,12,1.0000
103893,35,27,41,12,12,1.0000
104828,35,27,41,12,12,1.0000
105919,35,27,41,12,12,1.0000
106853,36,27,42,12,12,1.0000
107939,38,29,44,14,14,1.0000
108890,38,29,44,14,14,1.0000
109973,38,29,44,14,14,1.0000
110920,38,29,44,14,14,1.0000
111967,38,29,44,14,14,1.0000
112980,38,29,44,14,14,1.0000
114052,38,29,44,21,22,0.9545
114997,38,29,44,21,22,0.9545
116058,38,29,44,21,22,0.9545
117012,38,29,44,21,22,0.9545
118088,38,29,44,21,22,0.9545
119030,39,29,45,21,22,0.9545
120105,39,29,45,21,22,0.9545
121057,40,30,46,21,22,0.9545
122137,41,32,48,21,22,0.9545
123096,41,32,48,21,22,0.9545
124155,43,35,51,21,22,0.9545
125118,43,35,51,25,26,0.9615
126267,43,35,51,25,26,0.9615
127239,43,35,51,25,26,0.9615
128332,44,36,52,29,30,0.9667
129291,44,36,52,33,34,0.9706
130382,44,36,52,33,34,0.9706
131354,44,36,52,33,34,0.9706
132423,44,36,52,33,34,0.9706
133399,44,36,52,33,34,0.9706
134485,45,35,52,33,34,0.9706
135462,46,35,54,32,33,0.9697
136564,47,37,57,33,34,0.9706
137550,47,37,57,33,34,0.9706
138694,47,37,57,33,34,0.9706
139662,47,37,57,33,34,0.9706
140758,47,37,57,33,34,0.9706
141732,47,37,57,33,34,0.9706
142835,49,39,59,34,35,0.9714
143822,49,39,59,34,35,0.9714
144915,49,39,59,34,35,0.9714
145900,49,39,59,34,35,0.9714
147026,49,39,59,34,35,0.9714
148007,51,41,61,36,37,0.9730
149108,51,41,61,36,37,0.9730
150095,51,41,61,36,37,0.9730
151209,51,41,61,36,37,0.9730
152284,52,42,62,36,37,0.9730
153396,53,42,64,36,37,0.9730
154399,54,45,67,39,41,0.9512
155530,56,46,69,39,41,0.9512
156550,57,47,70,39,41,0.9512
157694,57,47,70,45,47,0.9574
158703,57,47,70,45,47,0.9574
159824,59,47,72,45,47,0.9574
160853,59,47,72,45,47,0.9574
162003,60,47,72,45,47,0.9574
163035,60,47,72,45,47,0.9574
164185,60,47,72,45,46,0.9783
165307,61,48,73,46,47,0.9787
166464,62,50,75,46,47,0.9787
167505,62,50,75,45,46,0.9783
168668,63,53,78,45,46,0.9783
169717,64,56,81,45,46,0.9783
